sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,default_configuration_id,description,fabric,frame,gallery,gift_message_available,has_options,image,image_label,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,parent_url_key,price,rattan,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tabletop,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
,,,,Products/Occasional Furniture/Occasional,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Furniture/Outdoor Daybeds,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Patio Furniture/Outdoor Patio Daybeds,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Patio Furniture/Patio Daybeds,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Sunroom Furniture/Sun Beds,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Seating/Sunasan,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Daybeds/Wicker Canopy Beds,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Outdoor Furniture/Wicker Outdoor Daybeds,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Patio Furniture/Wicker Patio Daybeds,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Seating/Wicker Sunasan,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Furniture Collections/Rattan Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROF879087-00,,[Frame][Rattan][Fabric][TableTop],simple,Products/Furniture Collections/Rattan Outdoor Furniture,Default Category,base,,,11/5/2014 16:01:44,,,,,,content,791R2C1,Natural Wood,,,0,no_selection,,,,Canopy Daybed,Canopy Daybed,,2100,Use config,Use config,Canopy Daybed - Default,,,Block after Info Column,,daybeds/canopy-daybeds,1749.99,KB2 3mm Round,0,Rattan Outdoor Furniture,no_selection,,,,,1,,2,no_selection,,11/7/2014 21:50:21,canopy-daybed-default,canopy-daybed-default,1,100,100,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ROF879100,,[Frame][Rattan][Fabric][TableTop],configurable,Featured,Default Category,base,,,11/5/2014 19:26:34,,,,,69,content,,,,,1,/c/a/cantilever-umbrellas-main_27.jpg,"Cantilever Umbrella by Rattan Outdoor Furniture - Open, Angled, Over Napa Grove Cafe Set",,,Cantilever Umbrella,Cantilever Umbrella,,3900,Use config,Use config,Cantilever Umbrella,,,Block after Info Column,,collections/rattan-outdoor-furniture,3249.99,,1,Rattan Outdoor Furniture,/c/a/cantilever-umbrellas-main_27.jpg,"Cantilever Umbrella by Rattan Outdoor Furniture - Open, Angled, Over Napa Grove Cafe Set",,,,1,,2,/c/a/cantilever-umbrellas-main_27.jpg,"Cantilever Umbrella by Rattan Outdoor Furniture - Open, Angled, Over Napa Grove Cafe Set",11/9/2014 16:14:50,cantilever-umbrella,cantilever-umbrella,4,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/c/a/cantilever-umbrellas-2_27.jpg,Canopy Lowered - Cantilever Umbrella by Rattan Outdoor Furniture,3,0,ROF879100-00,frame,Natural Wood,
,,,,Products/Accessories,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/a/cantilever-umbrellas-main_27.jpg,"Cantilever Umbrella by Rattan Outdoor Furniture - Open, Angled, Over Napa Grove Cafe Set",1,1,ROF879100-00,fabric,796R2C2,
,,,,Products/Deck Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/a/cantilever-umbrellas-1_27.jpg,Canopy Fully Lowered - Cantilever Umbrella by Rattan Outdoor Furniture,4,0,,,,
,,,,Products/Essentials,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/a/cantilever-umbrellas-3_27.jpg,Fully Open - Cantilever Umbrella by Rattan Outdoor Furniture,2,0,,,,
,,,,Products/Modern Wicker Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Occasional Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Essentials,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Wicker Essentials,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Patio Wicker Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Pool Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Ratan Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Accessories,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Deck Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Essentials,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Outdoor Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Patio Furniture Sale,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Accessories/Cantilever Umbrellas,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Occasional Furniture/Occasional,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Patio Furniture/Outdoor Patio Cantilever Umbrellas,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Accessories/Wicker Cantilever Umbrellas,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Occasional Chairs/Wicker Occasional,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Furniture Collections/Rattan Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROF879100-00,,[Frame][Rattan][Fabric][TableTop],simple,Products/Furniture Collections/Rattan Outdoor Furniture,Default Category,base,,,11/5/2014 19:27:30,,,,,,content,796R2C2,Natural Wood,,,0,no_selection,,,,Cantilever Umbrella,Cantilever Umbrella,,3900,Use config,Use config,Cantilever Umbrella - Default,,,Block after Info Column,,accessories/cantilever-umbrellas,3249.99,,0,Rattan Outdoor Furniture,no_selection,,,,,1,,2,no_selection,,11/7/2014 21:50:21,cantilever-umbrella-default,cantilever-umbrella-default,1,100,100,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ROF879117,,[Frame][Rattan][Fabric][TableTop],configurable,Products/Accessories,Default Category,base,,,11/5/2014 19:32:22,,,,,71,content,,,,,1,/p/a/parasol-main_9.jpg,Umbrella with Base by Rattan Outdoor Furniture,,,Umbrella with Base,Umbrella with Base,,829.99,Use config,Use config,Umbrella with Base,,,Block after Info Column,,accessories/parasol,689.99,,1,Rattan Outdoor Furniture,/p/a/parasol-main_9.jpg,Umbrella with Base by Rattan Outdoor Furniture,,,,1,,2,/p/a/parasol-main_9.jpg,Umbrella with Base by Rattan Outdoor Furniture,11/7/2014 21:50:21,umbrella,umbrella,4,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/p/a/parasol-main_9.jpg,Umbrella with Base by Rattan Outdoor Furniture,1,1,ROF879117-00,frame,Natural Wood,
,,,,Products/Deck Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/p/a/parasol-2_9.jpg,Underside - Umbrella with Base by Rattan Outdoor Furniture,3,0,ROF879117-00,fabric,796R2C2,
,,,,Products/Essentials,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/p/a/parasol-3_9.jpg,Raise / Lower Crank - Umbrella with Base by Rattan Outdoor Furniture,4,0,,,,
,,,,Products/Modern Wicker Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/p/a/parasol-1_9.jpg,Single Item - Umbrella with Base by Rattan Outdoor Furniture,2,0,,,,
,,,,Products/Occasional Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Essentials,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Wicker Essentials,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Patio Wicker Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Pool Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Ratan Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Accessories,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Deck Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Essentials,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Outdoor Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Patio Furniture Sale,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Occasional Furniture/Occasional,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Accessories/Parasol,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Occasional Chairs/Wicker Occasional,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Furniture Collections/Rattan Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROF879117-00,,[Frame][Rattan][Fabric][TableTop],simple,Products/Furniture Collections/Rattan Outdoor Furniture,Default Category,base,,,11/5/2014 19:32:59,,,,,,content,796R2C2,Natural Wood,,,0,no_selection,,,,Umbrella with Base,Umbrella with Base,,829.99,Use config,Use config,Umbrella with Base - Default,,,Block after Info Column,,accessories/parasol,689.99,,0,Rattan Outdoor Furniture,no_selection,,,,,1,,2,no_selection,,11/7/2014 21:50:21,umbrella-with-base-default,umbrella-with-base-default,1,100,100,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
BRT879278,,[Frame][Rattan][Fabric][TableTop],configurable,Products/Deck Furniture,Default Category,base,,,11/5/2014 21:20:12,,,,,73,content,,,,,1,/b/r/brighton-chaise-lounger-02.jpg,Brighton Chaise Lounger - Bottom Corner,,,Brighton Chaise Lounger,Brighton Chaise Lounger,,1800,Use config,Use config,Brighton Chaise Lounger,,,Block after Info Column,,collections/brighton,1499.99,,1,The Brighton Collection,/b/r/brighton-chaise-lounger-02.jpg,Brighton Chaise Lounger - Bottom Corner,,,,1,,2,/b/r/brighton-chaise-lounger-02.jpg,Brighton Chaise Lounger - Bottom Corner,11/10/2014 7:39:32,chaise-lounger,chaise-lounger-152,4,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/b/r/brighton-chaise-lounger-01.jpg,Side - Brighton Chaise Lounger,3,0,BRT879278-00,frame,Natural Wood,
,,,,Products/Lounge Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/b/r/brighton-chaise-lounger-02.jpg,Brighton Chaise Lounger - Bottom Corner,1,1,BRT879278-00,rattan,CC2 5mm Round,
,,,,Products/Modern Wicker Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/b/r/brighton-chaise-lounger-main.jpg,Side Top Angle - Brighton Chaise Lounger,2,0,BRT879278-00,fabric,795R2C2,
,,,,Products/Occasional Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/b/r/brighton-chaise-lounger-03.jpg,Bottom Corner Partially Reclined - Brighton Chaise Lounger,4,0,,,,
,,,,Products/Outdoor Chairs,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Outdoor Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Patio Wicker Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Pool Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Ratan Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Seating,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Sunroom Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Beach Chairs,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Chairs,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Deck Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Lounge Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Outdoor Chairs,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Outdoor Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Outdoor Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Patio Furniture,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Wicker Patio Furniture Sale,Default Category,,,,,,,,,,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
